id,score
4112d61851461f60,[0.55825454]
09e418c93a776564,[0.68021327]
36baf228038e314b,[0.54855138]
1f37ead645e7f0c8,[0.28229406]
71a5b6ad068d531f,[0.]
474c874d0c07bd21,[0.50266159]
442c114ed5c4e3c9,[0.51106459]
b8ae62ea5e1d8bdb,[0.]
faaddaf8fcba8a3f,[0.24497098]
ae0262c02566d2ce,[1.]
a8808e31641e856d,[0.2491537]
16ae4b99d3601e60,[0.25824532]
25c555ca3d5a2092,[0.72380513]
5203a36c501f1b7c,[0.98779285]
b9fdc772bb8fd61c,[0.76816249]
7aa5908a77a7ec24,[0.37395683]
d19ef3979396d47e,[0.34676331]
fd83613b7843f5e1,[0.]
2a619016908bfa45,[0.63814491]
733979d75f59770d,[0.3208895]
6546846df17f9800,[0.5022403]
3ff0e7a35015be69,[0.23948567]
12ca31f018a2e2b9,[0.21449547]
03ba802ed4029e4d,[0.24654602]
c404f8b378cbb008,[0.55353552]
78243984c02a72e4,[0.]
de51114bc0faec3e,[0.]
7e3aff857f056bf9,[0.]
26c3c6dc6174b589,[0.]
b892011ab2e2cabc,[0.59507257]
8247ff562ca185cc,[0.34705564]
c057aecbba832387,[0.02286228]
9f2279ce667b21dc,[0.6928761]
b9ea2b06a878df6f,[0.53406417]
79795133c30ef097,[0.40826851]
25522ee5411e63e9,[0.22286388]
